fold,probe_id
2,214832_at
2,214861_at
2,214864_s_at
2,214865_at
2,214900_at
2,214960_at
2,214979_at
2,215035_at
2,215080_s_at
2,215081_at
2,215099_s_at
2,215137_at
2,215172_at
2,215201_at
2,215216_at
2,215233_at
2,215239_x_at
2,215240_at
2,215265_at
2,215302_at
2,215324_at
2,215328_at
2,215339_at
2,215348_at
2,215365_at
2,215403_at
2,215441_at
2,215461_at
2,215495_s_at
2,215522_at
2,215574_at
2,215598_at
2,215635_at
2,215663_at
2,215674_at
2,215695_s_at
2,215705_at
2,215718_s_at
2,215722_s_at
2,215724_at
2,215733_x_at
2,215746_at
2,215805_at
2,215825_at
2,215879_at
2,215900_at
2,215923_s_at
2,215932_at
2,215943_at
2,216014_s_at
2,216024_at
2,216039_at
2,216127_at
2,216140_at
2,216145_at
2,216167_at
2,216186_at
2,216214_at
2,216241_s_at
2,216284_at
2,216303_s_at
2,216313_at
2,216318_at
2,216322_at
2,216370_s_at
2,216456_at
2,216489_at
2,216511_s_at
2,216569_at
2,216594_x_at
2,216618_at
2,216632_at
2,216651_s_at
2,216652_s_at
2,216654_at
2,216660_at
2,216688_at
2,216720_at
2,216786_at
2,216831_s_at
2,216844_at
2,216962_at
2,217014_s_at
2,217027_x_at
2,217039_x_at
2,217083_at
2,217094_s_at
2,217129_at
2,217145_at
2,217160_at
2,217254_s_at
2,217258_x_at
2,217328_at
2,217340_at
2,217349_s_at
2,217352_at
2,217358_at
2,217363_x_at
2,217372_at
2,217380_s_at
2,217389_s_at
2,217404_s_at
2,217415_at
2,217416_x_at
2,217422_s_at
2,217434_at
2,217493_x_at
2,217506_at
2,217622_at
2,217629_at
2,217656_at
2,217667_at
2,217710_x_at
2,217736_s_at
2,217744_s_at
2,217753_s_at
2,217806_s_at
2,217814_at
2,217820_s_at
2,217828_at
2,217837_s_at
2,217853_at
2,217932_at
2,217949_s_at
2,217951_s_at
2,217952_x_at
2,217962_at
2,217987_at
2,217996_at
2,217997_at
2,217999_s_at
2,218029_at
2,218031_s_at
2,218034_at
2,218044_x_at
2,218120_s_at
2,218142_s_at
2,218185_s_at
2,218210_at
2,218248_at
2,218274_s_at
2,218347_at
2,218350_s_at
2,218373_at
2,218399_s_at
2,218446_s_at
2,218489_s_at
2,218503_at
2,218528_s_at
2,218555_at
2,218634_at
2,218644_at
2,218649_x_at
2,218651_s_at
2,218657_at
2,218709_s_at
2,218716_x_at
2,218725_at
2,218730_s_at
2,218739_at
2,218761_at
2,218792_s_at
2,218842_at
2,218882_s_at
2,218902_at
2,218956_s_at
2,219005_at
2,219051_x_at
2,219076_s_at
2,219093_at
2,219116_s_at
2,219185_at
2,219216_at
2,219229_at
2,219230_at
2,219231_at
2,219276_x_at
2,219284_at
2,219288_at
2,219305_x_at
2,219354_at
2,219369_s_at
2,219512_at
2,219526_at
2,219529_at
2,219539_at
2,219631_at
2,219655_at
2,219663_s_at
2,219683_at
2,219719_at
2,219726_at
2,219730_at
2,219803_at
2,219815_at
2,219841_at
2,219842_at
2,219850_s_at
2,219860_at
2,219862_s_at
2,219951_s_at
2,219967_at
2,220055_at
2,220095_at
2,220123_at
2,220125_at
2,220172_at
2,220184_at
2,220238_s_at
2,220242_x_at
2,220247_at
2,220284_at
